embody_agg,adv_agg,creat_agg,embed_agg,authentic,pred_comp,identify,r_effect
5.983173076923077,6.199519230769231,5.930288461538462,5.871794871794871,6.259615384615385,6.490384615384615,4.846153846153846,6.519230769230769
4.094059405940594,3.821782178217822,4.044554455445544,3.432343234323432,4.910891089108911,3.267326732673267,3.059405940594059,2.356435643564356
4.735294117647059,4.487745098039215,4.301470588235294,4.098039215686275,5.872549019607843,4.941176470588236,4.088235294117647,3.794117647058823
4.822429906542056,5.158878504672897,4.703271028037383,4.797507788161993,4.953271028037383,5.261682242990654,3.94392523364486,4.878504672897196
4.298076923076923,4.598557692307693,4.387019230769231,4.208333333333333,4.971153846153846,4.673076923076923,3.134615384615385,3.913461538461538
5.514285714285714,5.652380952380953,5.276190476190476,5.37142857142857,5.390476190476191,5.638095238095238,4.371428571428571,5.6
4.185096153846154,4.694711538461538,4.225961538461538,3.365384615384614,3.884615384615385,4.490384615384615,3.105769230769231,3.384615384615385
3.745049504950495,3.670792079207921,3.680693069306931,3.184818481848184,4.346534653465347,3.405940594059406,2.673267326732673,2.396039603960396
5.617647058823529,5.901960784313726,5.674019607843137,5.549019607843135,6.029411764705882,5.950980392156863,4.15686274509804,5.862745098039215
4.607142857142857,4.973809523809524,4.84047619047619,4.857142857142857,4.485714285714286,5.142857142857143,3.371428571428571,5.133333333333334
2.394230769230769,2.40625,2.586538461538462,2.253205128205128,2.836538461538462,2.105769230769231,1.673076923076923,1.634615384615385
5,4.904205607476635,4.764018691588785,5.138629283489095,5.672897196261682,5.700934579439252,3.934579439252337,4.485981308411215
4.407142857142857,4.230952380952381,4.478571428571429,3.980952380952379,5.2,4.057142857142857,3.561904761904762,3.123809523809524
3.956730769230769,3.889423076923077,3.834134615384615,3.493589743589743,4.413461538461538,3.615384615384615,2.75,2.509615384615385
3.395238095238095,3.016666666666667,3.257142857142857,2.866666666666667,3.733333333333333,2.447619047619048,2.361904761904762,1.780952380952381
4.436320754716981,4.16745283018868,4.181603773584905,3.616352201257862,4.830188679245283,4.037735849056604,3.273584905660377,2.933962264150944
2.900943396226415,2.443396226415094,3.045238095238095,2.244444444444444,3.122641509433962,2.188679245283019,2.171428571428571,1.5
